File Path,Status,Result
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667885067-20240711050_超限录音-01.wav,Success,"[('Speech', 0.5063083), ('Train', 0.24193203), ('Rail transport', 0.15892391), ('Vehicle', 0.13719785), ('Subway, metro, underground', 0.13525051)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667925132-20240711052_超限录音-01.wav,Success,"[('Speech', 0.34137627), ('Waves, surf', 0.18293865), ('Ocean', 0.15103146), ('Pink noise', 0.13193719), ('Vehicle', 0.113640115)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667584193-20240711035_超限录音-01.wav,Success,"[('Pink noise', 0.14162755), ('Vehicle', 0.09634466), ('Mechanical fan', 0.07686645), ('White noise', 0.06866325), ('Air conditioning', 0.065123744)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667824884-20240711047_超限录音-01.wav,Success,"[('Speech', 0.22250518), ('Vehicle', 0.12903379), ('Train', 0.065950796), ('Wind', 0.05636345), ('Waves, surf', 0.05425718)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667684523-20240711040_超限录音-01.wav,Success,"[('Speech', 0.56700087), ('Vehicle', 0.11491085), ('Mechanical fan', 0.08823294), ('Air conditioning', 0.08281304), ('Inside, small room', 0.050694965)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667544055-20240711033_超限录音-01.wav,Success,"[('Pink noise', 0.1731019), ('Vehicle', 0.11897773), ('Speech', 0.11148735), ('Waves, surf', 0.07136349), ('Mechanical fan', 0.06993863)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667784760-20240711045_超限录音-01.wav,Success,"[('Speech', 0.21824668), ('Mechanical fan', 0.14943098), ('Air conditioning', 0.1477039), ('Vehicle', 0.11726207), ('Train', 0.086250976)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667985307-20240711055_超限录音-01.wav,Success,"[('Speech', 0.54532087), ('Vehicle', 0.465515), ('Train', 0.40145063), ('Rail transport', 0.29969847), ('Railroad car, train wagon', 0.25621203)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667965265-20240711054_超限录音-01.wav,Success,"[('Speech', 0.4965475), ('Vehicle', 0.2380245), ('Waves, surf', 0.09150136), ('Ocean', 0.07784303), ('Wind', 0.06550485)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668125707-20240711062_超限录音-01.wav,Success,"[('Vehicle', 0.64071083), ('Train', 0.47745144), ('Speech', 0.38522327), ('Rail transport', 0.34772605), ('Railroad car, train wagon', 0.3344509)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668145756-20240711063_超限录音-01.wav,Success,"[('Vehicle', 0.63057667), ('Train', 0.5281377), ('Rail transport', 0.41151464), ('Railroad car, train wagon', 0.39904228), ('Speech', 0.29120275)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668226018-20240711067_超限录音-01.wav,Success,"[('Speech', 0.27688792), ('Pink noise', 0.1863688), ('Vehicle', 0.116805874), ('Waves, surf', 0.0935094), ('Ocean', 0.081295826)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668386572-20240711075_超限录音-01.wav,Success,"[('Speech', 0.3600056), ('Waves, surf', 0.14072034), ('Ocean', 0.13161828), ('Vehicle', 0.113836005), ('Pink noise', 0.10499667)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668326301-20240711072_超限录音-01.wav,Success,"[('Speech', 0.5490809), ('Pink noise', 0.2108191), ('Waterfall', 0.119858794), ('Vehicle', 0.0993912), ('Waves, surf', 0.07553317)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668205961-20240711066_超限录音-01.wav,Success,"[('Speech', 0.54270023), ('Vehicle', 0.16491099), ('Pink noise', 0.10372404), ('Waves, surf', 0.06763053), ('Ocean', 0.05712495)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668246073-20240711068_超限录音-01.wav,Success,"[('Speech', 0.2608557), ('Pink noise', 0.15624501), ('Vehicle', 0.10034551), ('Music', 0.08406089), ('Waves, surf', 0.08230557)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668165817-20240711064_超限录音-01.wav,Success,"[('Vehicle', 0.5058577), ('Train', 0.35736084), ('Speech', 0.2915494), ('Rail transport', 0.2673525), ('Railroad car, train wagon', 0.25008008)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668266140-20240711069_超限录音-01.wav,Success,"[('Speech', 0.5247124), ('Vehicle', 0.24821833), ('Pink noise', 0.09152654), ('Train', 0.08824503), ('Outside, urban or manmade', 0.07630285)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668346384-20240711073_超限录音-01.wav,Success,"[('Speech', 0.48062193), ('Train', 0.22310904), ('Rail transport', 0.1459934), ('Railroad car, train wagon', 0.10744017), ('Vehicle', 0.10014759)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668286194-20240711070_超限录音-01.wav,Success,"[('Speech', 0.42384437), ('Pink noise', 0.13007268), ('Vehicle', 0.12928659), ('Waves, surf', 0.1290693), ('Ocean', 0.10686567)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668185862-20240711065_超限录音-01.wav,Success,"[('Speech', 0.46133706), ('Vehicle', 0.14003097), ('Pink noise', 0.12908703), ('Music', 0.10061135), ('Waves, surf', 0.0761574)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668366491-20240711074_超限录音-01.wav,Success,"[('Speech', 0.44957146), ('Pink noise', 0.21761763), ('Waves, surf', 0.14764841), ('Ocean', 0.13109283), ('Vehicle', 0.098013625)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668406629-20240711076_超限录音-01.wav,Success,"[('Pink noise', 0.22805095), ('Waves, surf', 0.10693313), ('Vehicle', 0.10109294), ('Ocean', 0.09950995), ('Waterfall', 0.06345629)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668446768-20240711078_超限录音-01.wav,Success,"[('Speech', 0.22059195), ('Vehicle', 0.16451083), ('Waves, surf', 0.15329084), ('Ocean', 0.13625921), ('Train', 0.09758517)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668426682-20240711077_超限录音-01.wav,Success,"[('Pink noise', 0.27772197), ('Waves, surf', 0.16219406), ('Ocean', 0.15107873), ('Wind', 0.081817016), ('Vehicle', 0.0682982)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668506943-20240711081_超限录音-01.wav,Success,"[('Speech', 0.18807381), ('Waves, surf', 0.15147297), ('Ocean', 0.13271615), ('Pink noise', 0.12479027), ('Vehicle', 0.09170468)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668486886-20240711080_超限录音-01.wav,Success,"[('Speech', 0.28522918), ('Vehicle', 0.26478773), ('Train', 0.16260262), ('Aircraft', 0.13043301), ('Rail transport', 0.11312024)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668466829-20240711079_超限录音-01.wav,Success,"[('Vehicle', 0.26048464), ('Speech', 0.16952129), ('Train', 0.1522014), ('Rail transport', 0.109256595), ('Aircraft', 0.08969901)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668526993-20240711082_超限录音-01.wav,Success,"[('Speech', 0.5314776), ('Pink noise', 0.14421499), ('Music', 0.12677103), ('Waves, surf', 0.11744898), ('Waterfall', 0.10714057)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668567139-20240711084_超限录音-01.wav,Success,"[('Speech', 0.545333), ('Vehicle', 0.26065886), ('Train', 0.25362056), ('Rail transport', 0.17328897), ('Railroad car, train wagon', 0.13743901)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668547081-20240711083_超限录音-01.wav,Success,"[('Speech', 0.6174773), ('Vehicle', 0.32079357), ('Train', 0.28574362), ('Subway, metro, underground', 0.19094303), ('Rail transport', 0.18920237)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668587187-20240711085_超限录音-01.wav,Success,"[('Vehicle', 0.23029123), ('Train', 0.17762475), ('Rail transport', 0.11692723), ('Railroad car, train wagon', 0.10958418), ('Subway, metro, underground', 0.091955155)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668647328-20240711088_超限录音-01.wav,Success,"[('Speech', 0.5650905), ('Vehicle', 0.22318698), ('Train', 0.10081383), ('Rail transport', 0.06251444), ('Pink noise', 0.056014698)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668607240-20240711086_超限录音-01.wav,Success,"[('Train', 0.31149623), ('Vehicle', 0.24853827), ('Rail transport', 0.22485837), ('Railroad car, train wagon', 0.20628008), ('Subway, metro, underground', 0.09245782)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668667381-20240711089_超限录音-01.wav,Success,"[('Speech', 0.5896114), ('Vehicle', 0.24200436), ('Outside, urban or manmade', 0.05912831), ('Wind', 0.04686698), ('Waves, surf', 0.04049423)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668687434-20240711090_超限录音-01.wav,Success,"[('Speech', 0.6538265), ('Vehicle', 0.40426254), ('Car', 0.18387614), ('Outside, urban or manmade', 0.08078425), ('Traffic noise, roadway noise', 0.07408812)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668627266-20240711087_超限录音-01.wav,Success,"[('Train', 0.39456618), ('Speech', 0.36612356), ('Rail transport', 0.29215893), ('Vehicle', 0.25460514), ('Railroad car, train wagon', 0.2433326)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668747564-20240711093_超限录音-01.wav,Success,"[('Vehicle', 0.3775596), ('Speech', 0.3593914), ('Train', 0.121769704), ('Car', 0.095088646), ('Rail transport', 0.085746095)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668767633-20240711094_超限录音-01.wav,Success,"[('Vehicle', 0.23918363), ('Car', 0.08423444), ('Pink noise', 0.055710137), ('Speech', 0.054793198), ('Waves, surf', 0.053333793)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720668787644-20240711095_超限录音-01.wav,Success,"[('Pink noise', 0.27078295), ('Waves, surf', 0.09607252), ('Vehicle', 0.08519748), ('Ocean', 0.083009884), ('White noise', 0.06759306)]"
